Variables,,Any comorbidity,
"",Total,No,Yes
"",(n=1590),(n=1191),(n=399)
Age (years),48.9±16.3,44.8±15.2,60.8±13.4
Incubation period (day),3.6±4.2,3.7±4.3,3.5±3.9
Temperature on admission (°C),37.4±0.9,37.4±0.9,37.3±0.9
Respiratory rate on admission (breath/min),21.2±12.0,21.2±13.7,21.3±4.7
Heart rate on admission (beat/min),88.7±14.6,88.5±14.7,89.2±14.4
Systolic pressure on admission (mmHg),126.1±16.4,123.5±15.2,133.2±17.5
Diastolic pressure on admission (mmHg),79.5±25.6,79±28.9,80.9±12.6
Highest temperature (°C),38.3±1.6,38.3±1.1,38.2±2.6
Sex,,,
Male,904/1578 (57.3),667/1182 (56.4),237/396 (59.8)
Female,674/1578 (42.7),515/1182 (43.6),159/396 (40.2)
Smoking status,,,
Never/unknown,1479/1590 (93),1127/1191 (94.6),352/399 (88.2)
Former/current,111/1590 (7),64/1191 (5.4),47/399 (11.8)
Symptoms,,,
Fever,1351/1536 (88),1002/1148 (87.3),349/388 (89.9)
Conjunctival congestion,10/1345 (0.7),7/1014 (0.7),3/331 (0.9)
Nasal congestion,73/1299 (5.6),59/979 (6),14/320 (4.4)
Headache,205/1328 (15.4),151/1002 (15.1),54/326 (16.6)
Dry cough,1052/1498 (70.2),775/1116 (69.4),277/382 (72.5)
Pharyngodynia,194/1317 (14.7),148/999 (14.8),46/318 (14.5)
Productive cough,513/1424 (36),363/1064 (34.1),150/360 (41.7)
Fatigue,584/1365 (42.8),435/1031 (42.2),149/334 (44.6)
Hemoptysis,16/1315 (1.2),9/991 (0.9),7/324 (2.2)
Shortness of breath,331/1394 (23.7),185/1041 (17.8),146/353 (41.4)
Nausea/vomiting,80/1371 (5.8),44/1025 (4.3),36/346 (10.4)
Diarrhea,57/1359 (4.2),39/1023 (3.8),18/336 (5.4)
Myalgia/arthralgia,234/1338 (17.5),174/1007 (17.3),60/331 (18.1)
Chill,163/1333 (12.2),129/1006 (12.8),34/327 (10.4)
Signs,,,
Throat congestion,21/1286 (1.6),16/973 (1.6),5/313 (1.6)
Tonsil swelling,31/1376 (2.3),22/1024 (2.1),9/352 (2.6)
Enlargement of lymph nodes,2/1375 (0.1),1/1027 (0.1),1/348 (0.3)
Rash,3/1378 (0.2),2/1032 (0.2),1/346 (0.3)
Unconsciousness,20/1421 (1.4),11/1063 (1),9/358 (2.5)
Abnormal chest image,,,
Radiograph,243/1590 (15.3),236/1566 (15.1),44036 (29.2)
Computed tomography,1130/1590 (71.1),1113/1566 (71.1),17/24 (70.8)
Hubei,,,
Yes,647/1590 (40.7),434/1191 (36.4),213/399 (53.4)
No,943/1590 (59.3),757/1191 (63.6),186/399 (46.6)
Wuhan-contacted,,,
Yes,1334/1590 (83.9),983/1191 (82.5),351/399 (88)
No,256/1590 (16.1),208/1191 (17.5),48/399 (12)
Severity,254/1590 (16),123/1191 (10.3),131/399 (32.8)
Composite endpoint,131/1590 (8.2),54/1191 (4.5),77/399 (19.3)
Death,50/1590 (3.1),15/1191 (1.3),35/399 (8.8)
Admission to ICU,99/1590 (6.2),45/1191 (3.8),54/399 (13.5)
Invasive ventilation,50/1590 (3.1),19/1191 (1.6),31/399 (1.6)
"",,COPD,,Diabetes,,Hypertension,Cardiovascular disease,Cerebrovascular disease
"",No,Yes,No,Yes,No,Yes,No Yes,No Yes
"",(n=1566),(n=24),(n=1460),(n=130),(n=1321),(n=269),(n=1531),(n=1560)
"",,,,,,,(n=59),(n=30)
Age (year),48.5±16.0,74.7±6.8,47.8±16.1,61.2±13.4,46.2±15.6,62.1±12.5,48.2±15.9 66.3±15.1,48.5±16.1 70.4±8.9
Incubation period (day),3.6±4.2,4.5±3.2,3.6±4.1,3.8±5.0,3.6±4.2,3.6±4.1,3.7±4.2 3.3±3.7,3.6±4.2 3.8±3.4
Temperature on admission (°C),37.4±0.9,37.3±0.9,37.4±0.9,37.2±1.0,37.4±0.9,37.2±0.9,37.4±0.9 37.3±1,37.4±0.9 36.9±0.8
Respiratory rate on admission (breath/min),21.2±12.1,21.8±5.2,21.2±12.4,21.4±5.4,21.2±13.1,21.3±4.5,21.2±12.2 21.4±6.2,21.3±12.1 19.9±3.3
Heart rate (bit/minute),88.6±14.6,90.2±12.8,88.6±14.6,89.1±14.3,88.6±14.7,89±14.3,88.8±14.6 86.4±14.9,88.8±14.6 84.5±11.4
Systolic pressure on admission (mmHg),126±16.4,131±17.5,125.3±15.9,134.4±19.1,123.9±15.2,135.4±18.2,125.8±16.3 132.3±18.8,125.9±16.4 132.9±16
Diastolic pressure on admission (mmHg),79.6±25.7,77±11.9,79.4±26.4,80.9±13.2,79.2±27.7,81±12.5,79.6±25.9 78.4±13.6,79.6±25.8 77.4±9.6
Highest temperature (°C),38.3±1.6,38.5±0.6,38.3±1.7,38.4±0.8,38.3±1.3,38.2±2.7,38.3±1.7 38.5±0.8,38.3±1.6 38.2±1
Sex,,,,,,,,
Male,884/1554,20/24,828/1449,76/129,748/1312,156/266,868/1520 36/58,881/1548 23/30
"",(56.9),(83.3),(57.1),(58.9),(57),(58.6),(57.1),(62.1),(56.9),(76.7)
Female,670/1554,4/24,621/1449,53/129,564/1312,110/266,652/1520,22/58,667/1548,7/30
"",(43.1),(16.7),(42.9),(41.1),(43),(41.4),(42.9),(37.9),(43.1),
"",,,,,,,,,,(23.3)
Smoking status,,,,,,,,,,
Never/unknown,1458/156,21/24,1368/1460,111/130,1232/1321,247/269,1426/1531,53/59,1453/1560,26/30
"",6 (93.1),(87.5),(93.7),(85.4),(93.3),(91.8),(93.1),(89.8),(93.1),(86.7)
Former/current,108/1566,3/24,92/1460,19/130,89/1321,22/269,105/1531,6/59,107/1560,4/30
"",(6.9),(12.5),(6.3),(14.6),(6.7),(8.2),(6.9),,(6.9),
"",,,,,,,,(10.2),,(13.3)
Symptoms,,,,,,,,,,
Fever,1331/151,20/23,1239/1412,112/124,1113/1273,238/263,1308/1482,43/54,1328/1507,23/29
"",3 (88),,(87.7),(90.3),(87.4),(90.5),(88.3),(79.6),(88.1),(79.3)
"",,(87.0),,,,,,,,
Conjunctival congestion,10/1325,0/20,9/1237,1/108,9/1120,1/225,10/1299,0/46,10/1320,0/25
"",(0.8),,(0.7),,(0.8),,(0.8),,(0.8),
"",,(0),,(0.9),,(0.4),,(0),,(0)
Nasal congestion,72/1281,1/18,66/1195,7/104,62/1079,11/220,67/1253,6/46,73/1275,0/24
"",(5.6),,(5.5),,(5.7),,(5.3),,(5.7),
"",,(5.6),,(6.7),,(5),,(13.0),,(0)
Headache,202/1309,3/19,187/1225,18/103,166/1106,39/222,197/1283,8/45,197/1303,8/25
"",(15.4),(15.8),(15.3),(17.5),(15),(17.6),(15.4),,(15.1),
"",,,,,,,,(17.8),,(32.0)
Dry cough,1038/147,14/24,972/1378,80/120,854/1238,198/260,1018/1442,34/56,1035/1469,17/29
"",4 (70.4),(58.3),(70.5),(66.7),(69),(76.2),(70.6),(60.7),(70.5),(58.6)
Pharyngodynia,189/1300,5/17,182/1219,12/98,165/1102,29/215,185/1272,9/45,192/1296,2/21
"",(14.5),(29.4),(14.9),(12.2),(15),(13.5),(14.5),,(14.8),
"",,,,,,,,(20),,(9.5)
Productive cough,502/1400,11/24,462/1309,51/115,403/1178,110/246,499/1373,14/51,504/1397,9/27
"",(35.9),(45.8),(35.3),(44.3),(34.2),(44.7),(36.3),(27.5),(36.1),
"",,,,,,,,,,(33.3)
Fatigue,573/1347,11/18,529/1257,55/108,488/1143,96/222,564/1318,20/47,574/1344,10/21
"",(42.5),(61.1),(42.1),(50.9),(42.7),(43.2),(42.8),(42.6),(42.7),(47.6)
Hemoptysis,15/1296,1/19,12/1214,4/101,12/1096,4/219,15/1268,1/47,16/1292,0/23
"",(1.2),,,,(1.1),,(1.2),,(1.2),
"",,(5.3),(1.0),(4.0),,(1.8),,(2.1),,(0)
Shortness of breath,316/1371,15/23,277/1279,54/115,223/1154,108/240,310/1342,21/52,319/1366,12/28
"",(23),(65.2),(21.7),,(19.3),(45),(23.1),(40.4),(23.4),(42.9)
"",,,,(47.0),,,,,,
Nausea/vomiting,77/1350,3/21,69/1264,11/107,55/1134,25/237,73/1321,7/50,79/1348,1/23
"",(5.7),(14.3),(5.5),(10.3),(4.9),(10.5),(5.5),(14.0),(5.9),(4.3)
Diarrhea,57/1338,0/21,48/1255,9/104,46/1129,11/230,53/1313,4/46,57/1336,0/23
"",(4.3),,(3.8),,(4.1),(4.8),,,(4.3),
"",,(0),,(8.7),,,(4.0),(8.7),,(0)
Myalgia/arthralgia,231/1320,3/18,218/1234,16/104,188/1112,46/226,227/1294,7/44,233/1317,1/21
"",(17.5),(16.7),(17.7),(15.4),(16.9),(20.4),(17.5),,(17.7),
"",,,,,,,,(15.9),,(4.8)
Chill,159/1313,4/20,151/1230,12/103,140/1111,23/222,161/1290,2/43,162/1310,1/23
"",(12.1),,(12.3),(11.7),(12.6),(10.4),(12.5),,(12.4),
"",,(20.0),,,,,,(4.7),,(4.3)
Signs,,,,,,,,,,
Throat congestion,21/1269,0/17,20/1189,1/97,18/1075,3/211,21/1245,0/41,21/1266,0/20
"",(1.7),,(1.7),,(1.7),,(1.7),,(1.7),
"",,(0),,(1),,(1.4),,(0),,(0)
Tonsil swelling,31/1355,0/21,28/1265,3/111,25/1133,6/243,29/1326,2/50,31/1348,0/28
"",(2.3),,(2.2),,(2.2),,(2.2),,(2.3),
"",,(0),,(2.7),,(2.5),,(4.0),,(0)
Enlargement of lymph nodes,2/1355,0/20,2/1267,0/108,2/1135,0/240,1/1325,1/50,2/1347,0/28
"",(0.1),,(0.2),,(0.2),,(0.1),,(0.1),
"",,(0),,(0),,(0),,(2.0),,(0)
Rash,3/1357,0/21,2/1270,1/108,2/1141,1/237,3/1327,0/51,3/1351,0/27
"",(0.2),,(0.2),,(0.2),,(0.2),,(0.2),
"",,(0),,(0.9),,(0.4),,(0),,(0)
Unconsciousness,18/1400,2/21,18/1309,2/112,12/1175,8/246,17/1371,3/50,19/1392,1/29
